tag_level2,ct_mean__mean,ct_mean__std,ct_p95__mean,ct_p95__std,run_time_mean__mean,run_time_mean__std,run_time_p95__mean,run_time_p95__std,dev_sum__mean,dev_sum__std,dev_p95__mean,dev_p95__std,fail_rate__mean,fail_rate__std,failw_rate__mean,failw_rate__std,n_fail__mean,n_fail__std,n_total__mean,n_total__std
1030,1.2566666666668123,0.017511900715177293,1.2566666666668123,0.017511900715177293,31.583333333333332,2.593389031107109,31.583333333333332,2.593389031107109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
1031,1.2566666666674184,0.01751190071635447,1.2566666666674184,0.01751190071635447,27.25,2.2313672938357767,27.25,2.2313672938357767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743582
1032,1.2539999999997236,0.00894427190938092,1.2539999999997236,0.00894427190938092,27.839999999999996,2.630209117161597,27.839999999999996,2.630209117161597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.19425423471373773
1033,1.2479999999995925,0.010954451149844304,1.2479999999995925,0.010954451149844304,30.4,2.6944387170614967,30.4,2.6944387170614967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.19425423471373782
1034,1.2633333333333212,0.018618986725106014,1.2633333333333212,0.018618986725106014,26.833333333333332,1.0764137989949167,26.833333333333332,1.0764137989949167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.2025772771874358
1035,1.2416666666664848,0.007527726527255146,1.2416666666664848,0.007527726527255146,28.38333333333333,2.5794702298469483,28.38333333333333,2.5794702298469483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1036,1.2533333333327998,0.015055453054188048,1.2533333333327998,0.015055453054188048,28.400000000000002,3.43394816501356,28.400000000000002,3.43394816501356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
1037,1.2519999999996798,0.01095445115084059,1.2519999999996798,0.01095445115084059,28.0,2.6201145013147813,28.0,2.6201145013147813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.1656472891122698
1038,1.2483333333332969,0.017224014243004952,1.2483333333332969,0.017224014243004952,28.183333333333334,2.23912185167906,28.183333333333334,2.23912185167906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1039,1.2449999999998909,0.010488088480889845,1.2449999999998909,0.010488088480889845,29.8,2.99532969804661,29.8,2.99532969804661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
104,1.245000000000137,0.024289915602974187,1.245000000000137,0.024289915602974187,27.599999999999998,2.326370563775258,27.599999999999998,2.326370563775258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
1040,1.254999999999806,0.015165750887834447,1.254999999999806,0.015165750887834447,27.433333333333334,0.8477420991472985,27.433333333333334,0.8477420991472985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1041,1.2599999999993088,0.02529822128132402,1.2599999999993088,0.02529822128132402,26.866666666666664,0.9201449161228181,26.866666666666664,0.9201449161228181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.2025772771874358
1042,1.2483333333336002,0.009831920803148065,1.2483333333336002,0.009831920803148065,28.666666666666668,3.396861296353838,28.666666666666668,3.396861296353838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
1043,1.2550000000001091,0.01378404875239109,1.2550000000001091,0.01378404875239109,30.150000000000002,3.61372384113673,30.150000000000002,3.61372384113673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1044,1.2466666666659876,0.016329931617871347,1.2466666666659876,0.016329931617871347,28.933333333333334,4.39256948341932,28.933333333333334,4.39256948341932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743582
1045,1.2516666666663998,0.0075277265268523415,1.2516666666663998,0.0075277265268523415,26.55,0.7063993204979746,26.55,0.7063993204979746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1046,1.2483333333339033,0.014719601444036263,1.2483333333339033,0.014719601444036263,27.53333333333333,2.2905603390145974,27.53333333333333,2.2905603390145974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1047,1.2533333333343155,0.018618986726994805,1.2533333333343155,0.018618986726994805,28.21666666666667,3.541421560145962,28.21666666666667,3.541421560145962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1048,1.253333333333406,0.01861898672543166,1.253333333333406,0.01861898672543166,27.2,0.985900603509299,27.2,0.985900603509299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1049,1.2616666666669214,0.014719601443459567,1.2616666666669214,0.014719601443459567,27.316666666666666,0.849509662491644,27.316666666666666,0.849509662491644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743587
105,1.2399999999997817,0.006324555320331006,1.2399999999997817,0.006324555320331006,28.683333333333334,2.680609383454937,28.683333333333334,2.680609383454937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1050,1.2600000000002183,0.017320508076066863,1.2600000000002183,0.017320508076066863,29.1,3.258066911528982,29.1,3.258066911528982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.1942542347137377
1051,1.25,0.01788854382018542,1.25,0.01788854382018542,28.46666666666667,2.8883674743125516,28.46666666666667,2.8883674743125516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743584
1052,1.2566666666668123,0.019663841605432723,1.2566666666668123,0.019663841605432723,29.566666666666666,3.1423982348942756,29.566666666666666,3.1423982348942756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743582
1053,1.2433333333331877,0.013662601021045124,1.2433333333331877,0.013662601021045124,29.45,4.873910134583936,29.45,4.873910134583936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.2025772771874359
1054,1.2600000000005214,0.008944271910194366,1.2600000000005214,0.008944271910194366,29.349999999999998,2.819751762123751,29.349999999999998,2.819751762123751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.2025772771874358
1055,1.0500000000003638,0.4472694937061918,1.0500000000003638,0.4472694937061918,28.2,2.2825424421026663,28.2,2.2825424421026663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.19425423471373773
1056,1.2516666666676126,0.011690451945533269,1.2516666666676126,0.011690451945533269,26.683333333333334,0.8795832346439232,26.683333333333334,0.8795832346439232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.20257727718743582
1057,1.241666666666788,0.009831920802284672,1.241666666666788,0.009831920802284672,29.850000000000005,2.95076261329169,29.850000000000005,2.95076261329169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.2025772771874359
